number,cop.lake,cop.isol.date,worm.fam,worm.lake,worm.expo.date,plate,well.numb,date.dissected,infected.yes.no,cop.sex,numb.worm,note,,,,,,,,,,,,,,,
1,lau,10/9/18,boo2ax2c,boo,10/16/18,p23,1,11/01/18,n,f,0,,,,,,,,,,,,,,,,
2,lau,10/9/18,boo2ax2c,boo,10/16/18,p23,1,11/01/18,n,f,0,,,,,,,,,,,,,,,,
3,lau,10/9/18,boo2ax2c,boo,10/16/18,p23,1,11/01/18,n,f,0,,,,,,,,,,,,,,,,
4,lau,10/9/18,boo2ax2c,boo,10/16/18,p23,1,11/01/18,y,m,1,,,,,,,,,,,,,,,,
5,lau,10/9/18,boo2ax2c,boo,10/16/18,p23,1,11/01/18,n,f,0,,,,,,,,,,,,,,,,
6,lau,10/9/18,boo2ax2c,boo,10/16/18,p23,1,11/01/18,n,f,0,,,,,,,,,,,,,,,,
7,lau,10/9/18,boo2ax2c,boo,10/16/18,p23,1,11/01/18,y,m,1,,,,,,,,,,,,,,,,
8,ech,10/15/18,g7ax1a,gos,10/16/18,p23,2,11/01/18,y,f,1,,,,,,,,,,,,,,,,
9,ech,10/15/18,g7ax1a,gos,10/16/18,p23,2,11/01/18,y,f,2,,,,,,,,,,,,,,,,
10,ech,10/15/18,g7ax1a,gos,10/16/18,p23,2,11/01/18,y,f,1,,,,,,,,,,,,,,,,
11,ech,10/15/18,g7ax1a,gos,10/16/18,p23,2,11/01/18,y,f,3,,,,,,,,,,,,,,,,
12,ech,10/15/18,g7ax1a,gos,10/16/18,p23,2,11/01/18,y,f,1,,,,,,,,,,,,,,,,
13,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,used as control fisrt,,,,,,,,,,,,,,,
14,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
15,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
16,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
17,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
18,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
19,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
20,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
21,lau,10/09/18,g7ax1a,gos,10/22/18,p23,3,11/01/18,n,f,0,,,,,,,,,,,,,,,,
22,rob,10/09/18,boo11bx1a,boo,10/16/18,p23,4,11/01/18,y,m,3,,,,,,,,,,,,,,,,
23,rob,10/09/18,boo11bx1a,boo,10/16/18,p23,4,11/01/18,y,f,1,,,,,,,,,,,,,,,,
24,rob,10/09/18,boo11bx1a,boo,10/16/18,p23,4,11/01/18,n,m,0,,,,,,,,,,,,,,,,
25,rob,10/09/18,boo11bx1a,boo,10/16/18,p23,4,11/01/18,n,f,0,,,,,,,,,,,,,,,,
26,rob,10/09/18,boo11bx1a,boo,10/16/18,p23,4,11/01/18,y,m,1,,,,,,,,,,,,,,,,
27,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,y,f,1,,,,,,,,,,,,,,,,
28,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,y,f,3,,,,,,,,,,,,,,,,
29,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,n,f,0,,,,,,,,,,,,,,,,
30,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,y,f,1,,,,,,,,,,,,,,,,
31,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,y,f,3,,,,,,,,,,,,,,,,
32,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,y,f,2,,,,,,,,,,,,,,,,
33,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,y,f,2,,,,,,,,,,,,,,,,
34,gos,10/14/18,echbulk,ech,10/16,p23,5,11/01/18,y,f,3,,,,,,,,,,,,,,,,
35,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,n,f,0,,,,,,,,,,,,,,,,
36,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,n,f,0,,,,,,,,,,,,,,,,
37,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,n,f,0,,,,,,,,,,,,,,,,
38,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,n,f,0,,,,,,,,,,,,,,,,
39,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,y,f,1,,,,,,,,,,,,,,,,
40,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,n,f,0,,,,,,,,,,,,,,,,
41,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,n,f,0,,,,,,,,,,,,,,,,
42,boo,10/04/18,boobulk,boo,10/16/18,p23,6,11/01/18,n,f,0,,,,,,,,,,,,,,,,
43,boo,10/04/18,boobulk,boo,10/16/18,p40,2,11/01/18,n,f,0,,,,,,,,,,,,,,,,
44,boo,10/04/18,boobulk,boo,10/16/18,p40,2,11/01/18,n,f,0,,,,,,,,,,,,,,,,
45,boo,10/04/18,boobulk,boo,10/16/18,p40,2,11/01/18,n,f,0,,,,,,,,,,,,,,,,
46,boo,10/04/18,boobulk,boo,10/16/18,p40,2,11/01/18,n,f,0,,,,,,,,,,,,,,,,
47,boo,10/04/18,boobulk,boo,10/16/18,p40,2,11/01/18,n,f,0,,,,,,,,,,,,,,,,
48,boo,10/04/18,boobulk,boo,10/16/18,p40,2,11/01/18,n,f,0,,,,,,,,,,,,,,,,
49,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
50,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
51,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
52,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
53,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,y,f,3,,,,,,,,,,,,,,,,
54,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
55,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
56,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,y,m,1,,,,,,,,,,,,,,,,
57,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
58,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
59,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
60,gos,10/14,g7ax1a,gos,10/16/18,p16,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
61,boo,10/4/18,boo11bx1a,boo,10/16/18,p16,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
62,boo,10/4/18,boo11bx1a,boo,10/16/18,p16,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
63,boo,10/4/18,boo11bx1a,boo,10/16/18,p16,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
64,boo,10/4/18,boo11bx1a,boo,10/16/18,p16,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
65,boo,10/4/18,boo11bx1a,boo,10/16/18,p16,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
66,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
67,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
68,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
69,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
70,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
71,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
72,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
73,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
74,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
75,lau,10/11/18,boobulk,boo,10/16,p16,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
76,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
77,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
78,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,y,f,4,,,,,,,,,,,,,,,,
79,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,y,f,2,,,,,,,,,,,,,,,,
80,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,y,f,2,,,,,,,,,,,,,,,,
81,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
82,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
83,ech,10/14/18,ech3ax1a,ech,10/16/18,p16,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
84,rob,10/06/18,echbulk,ech,10/16/18,p16,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
85,rob,10/06/18,echbulk,ech,10/16/18,p16,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
86,rob,10/06/18,echbulk,ech,10/16/18,p16,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
87,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
88,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,y,m,1,,,,,,,,,,,,,,,,
89,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,y,f,1,,,,,,,,,,,,,,,,
90,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,y,f,4,,,,,,,,,,,,,,,,
91,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,y,m,1,,,,,,,,,,,,,,,,
92,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,y,f,4,,,,,,,,,,,,,,,,
93,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,y,f,2,,,,,,,,,,,,,,,,
94,gos,10/15/18,echbulk,ech,10/16/18,p40,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
95,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
96,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,y,m,1,,,,,,,,,,,,,,,,
97,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,n,m,0,,,,,,,,,,,,,,,,
98,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,y,f,1,,,,,,,,,,,,,,,,
99,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
100,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,n,m,0,,,,,,,,,,,,,,,,
101,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,n,m,0,,,,,,,,,,,,,,,,
102,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
103,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,y,m,1,,,,,,,,,,,,,,,,
104,lau,10/11/18,boo2ax2c,boo,10/16/18,p40,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
105,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
106,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
107,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
108,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,y,f,2,,,,,,,,,,,,,,,,
109,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,y,f,3,,,,,,,,,,,,,,,,
110,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
111,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,n,m,0,,,,,,,,,,,,,,,,
112,ech,10/15/18,g7ax1a,gos,10/16/18,p40,5,11/2/18,y,f,1,,,,,,,,,,,,,,,,
113,rob,10/08/18,boo11bx1a,boo,10/16/18,p40,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
114,rob,10/08/18,boo11bx1a,boo,10/16/18,p40,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
115,rob,10/6/18,boo11bx1a,boo,10/16/18,p5,1,11/2/18,n,m,0,,,,,,,,,,,,,,,,
116,rob,10/6/18,boo11bx1a,boo,10/16/18,p5,1,11/2/18,y,f,1,,,,,,,,,,,,,,,,
117,rob,10/6/18,boo11bx1a,boo,10/16/18,p5,1,11/2/18,y,m,1,,,,,,,,,,,,,,,,
118,rob,10/6/18,boo11bx1a,boo,10/16/18,p5,1,11/2/18,n,m,0,,,,,,,,,,,,,,,,
119,rob,10/6/18,boo11bx1a,boo,10/16/18,p5,1,11/2/18,y,f,1,,,,,,,,,,,,,,,,
120,boo,10/04/18,boobulk,boo,10/16/18,p5,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
121,boo,10/04/18,boobulk,boo,10/16/18,p5,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
122,boo,10/04/18,boobulk,boo,10/16/18,p5,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
123,boo,10/04/18,boobulk,boo,10/16/18,p5,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
124,boo,10/04/18,boobulk,boo,10/16/18,p5,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
125,boo,10/04/18,boobulk,boo,10/16/18,p5,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
126,boo,10/04/18,boobulk,boo,10/16/18,p5,2,11/2/18,y,f,1,,,,,,,,,,,,,,,,
127,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,y,f,1,,,,,,,,,,,,,,,,
128,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,m,0,,,,,,,,,,,,,,,,
129,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
130,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
131,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
132,lau,10/9/18,boo2ax2c,boo,10/16/18,p5,4,11/2/18,n,m,0,,,,,,,,,,,,,,,,
