number,cop.lake,worm.fam,worm.lake,plate,numb.worm,native,genus
1,lau,boo2ax2c,boo,p23,0,FALSE,M
2,lau,boo2ax2c,boo,p23,0,FALSE,M
3,lau,boo2ax2c,boo,p23,0,FALSE,M
4,lau,boo2ax2c,boo,p23,1,FALSE,M
5,lau,boo2ax2c,boo,p23,0,FALSE,M
6,lau,boo2ax2c,boo,p23,0,FALSE,M
7,lau,boo2ax2c,boo,p23,1,FALSE,M
8,ech,g7ax1a,gos,p23,1,FALSE,A
9,ech,g7ax1a,gos,p23,2,FALSE,A
10,ech,g7ax1a,gos,p23,1,FALSE,A
11,ech,g7ax1a,gos,p23,3,FALSE,A
12,ech,g7ax1a,gos,p23,1,FALSE,A
13,lau,g7ax1a,gos,p23,0,FALSE,M
14,lau,g7ax1a,gos,p23,0,FALSE,M
15,lau,g7ax1a,gos,p23,0,FALSE,M
16,lau,g7ax1a,gos,p23,0,FALSE,M
17,lau,g7ax1a,gos,p23,0,FALSE,M
18,lau,g7ax1a,gos,p23,0,FALSE,M
19,lau,g7ax1a,gos,p23,0,FALSE,M
20,lau,g7ax1a,gos,p23,0,FALSE,M
21,lau,g7ax1a,gos,p23,0,FALSE,M
22,rob,boo11bx1a,boo,p23,3,FALSE,M
23,rob,boo11bx1a,boo,p23,1,FALSE,M
24,rob,boo11bx1a,boo,p23,0,FALSE,M
25,rob,boo11bx1a,boo,p23,0,FALSE,M
26,rob,boo11bx1a,boo,p23,1,FALSE,M
27,gos,echbulk,ech,p23,1,FALSE,A
28,gos,echbulk,ech,p23,3,FALSE,A
29,gos,echbulk,ech,p23,0,FALSE,A
30,gos,echbulk,ech,p23,1,FALSE,A
31,gos,echbulk,ech,p23,3,FALSE,A
32,gos,echbulk,ech,p23,2,FALSE,A
33,gos,echbulk,ech,p23,2,FALSE,A
34,gos,echbulk,ech,p23,3,FALSE,A
35,boo,boobulk,boo,p23,0,TRUE,M
36,boo,boobulk,boo,p23,0,TRUE,M
37,boo,boobulk,boo,p23,0,TRUE,M
38,boo,boobulk,boo,p23,0,TRUE,M
39,boo,boobulk,boo,p23,1,TRUE,M
40,boo,boobulk,boo,p23,0,TRUE,M
41,boo,boobulk,boo,p23,0,TRUE,M
42,boo,boobulk,boo,p23,0,TRUE,M
43,boo,boobulk,boo,p40,0,TRUE,M
44,boo,boobulk,boo,p40,0,TRUE,M
45,boo,boobulk,boo,p40,0,TRUE,M
46,boo,boobulk,boo,p40,0,TRUE,M
47,boo,boobulk,boo,p40,0,TRUE,M
48,boo,boobulk,boo,p40,0,TRUE,M
49,gos,g7ax1a,gos,p16,1,TRUE,A
50,gos,g7ax1a,gos,p16,1,TRUE,A
51,gos,g7ax1a,gos,p16,0,TRUE,A
52,gos,g7ax1a,gos,p16,0,TRUE,A
53,gos,g7ax1a,gos,p16,3,TRUE,A
54,gos,g7ax1a,gos,p16,1,TRUE,A
55,gos,g7ax1a,gos,p16,0,TRUE,A
56,gos,g7ax1a,gos,p16,1,TRUE,A
57,gos,g7ax1a,gos,p16,0,TRUE,A
58,gos,g7ax1a,gos,p16,0,TRUE,A
59,gos,g7ax1a,gos,p16,0,TRUE,A
60,gos,g7ax1a,gos,p16,0,TRUE,A
61,boo,boo11bx1a,boo,p16,0,TRUE,M
62,boo,boo11bx1a,boo,p16,0,TRUE,M
63,boo,boo11bx1a,boo,p16,0,TRUE,M
64,boo,boo11bx1a,boo,p16,0,TRUE,M
65,boo,boo11bx1a,boo,p16,0,TRUE,M
66,lau,boobulk,boo,p16,0,FALSE,M
67,lau,boobulk,boo,p16,0,FALSE,M
68,lau,boobulk,boo,p16,0,FALSE,M
69,lau,boobulk,boo,p16,0,FALSE,M
70,lau,boobulk,boo,p16,0,FALSE,M
71,lau,boobulk,boo,p16,0,FALSE,M
72,lau,boobulk,boo,p16,0,FALSE,M
73,lau,boobulk,boo,p16,0,FALSE,M
74,lau,boobulk,boo,p16,0,FALSE,M
75,lau,boobulk,boo,p16,0,FALSE,M
76,ech,ech3ax1a,ech,p16,1,TRUE,A
77,ech,ech3ax1a,ech,p16,0,TRUE,A
78,ech,ech3ax1a,ech,p16,4,TRUE,A
79,ech,ech3ax1a,ech,p16,2,TRUE,A
80,ech,ech3ax1a,ech,p16,2,TRUE,A
81,ech,ech3ax1a,ech,p16,0,TRUE,A
82,ech,ech3ax1a,ech,p16,0,TRUE,A
83,ech,ech3ax1a,ech,p16,1,TRUE,A
84,rob,echbulk,ech,p16,0,FALSE,M
85,rob,echbulk,ech,p16,0,FALSE,M
86,rob,echbulk,ech,p16,0,FALSE,M
87,gos,echbulk,ech,p40,0,FALSE,A
88,gos,echbulk,ech,p40,1,FALSE,A
89,gos,echbulk,ech,p40,1,FALSE,A
90,gos,echbulk,ech,p40,4,FALSE,A
91,gos,echbulk,ech,p40,1,FALSE,A
92,gos,echbulk,ech,p40,4,FALSE,A
93,gos,echbulk,ech,p40,2,FALSE,A
94,gos,echbulk,ech,p40,0,FALSE,A
95,lau,boo2ax2c,boo,p40,0,FALSE,M
96,lau,boo2ax2c,boo,p40,1,FALSE,M
97,lau,boo2ax2c,boo,p40,0,FALSE,M
98,lau,boo2ax2c,boo,p40,1,FALSE,M
99,lau,boo2ax2c,boo,p40,0,FALSE,M
100,lau,boo2ax2c,boo,p40,0,FALSE,M
101,lau,boo2ax2c,boo,p40,0,FALSE,M
102,lau,boo2ax2c,boo,p40,0,FALSE,M
103,lau,boo2ax2c,boo,p40,1,FALSE,M
104,lau,boo2ax2c,boo,p40,0,FALSE,M
105,ech,g7ax1a,gos,p40,0,FALSE,A
106,ech,g7ax1a,gos,p40,0,FALSE,A
107,ech,g7ax1a,gos,p40,1,FALSE,A
108,ech,g7ax1a,gos,p40,2,FALSE,A
109,ech,g7ax1a,gos,p40,3,FALSE,A
110,ech,g7ax1a,gos,p40,1,FALSE,A
111,ech,g7ax1a,gos,p40,0,FALSE,A
112,ech,g7ax1a,gos,p40,1,FALSE,A
113,rob,boo11bx1a,boo,p40,0,FALSE,M
114,rob,boo11bx1a,boo,p40,1,FALSE,M
115,rob,boo11bx1a,boo,p5,0,FALSE,M
116,rob,boo11bx1a,boo,p5,1,FALSE,M
117,rob,boo11bx1a,boo,p5,1,FALSE,M
118,rob,boo11bx1a,boo,p5,0,FALSE,M
119,rob,boo11bx1a,boo,p5,1,FALSE,M
120,boo,boobulk,boo,p5,0,TRUE,M
121,boo,boobulk,boo,p5,0,TRUE,M
122,boo,boobulk,boo,p5,1,TRUE,M
123,boo,boobulk,boo,p5,0,TRUE,M
124,boo,boobulk,boo,p5,1,TRUE,M
125,boo,boobulk,boo,p5,1,TRUE,M
126,boo,boobulk,boo,p5,1,TRUE,M
127,lau,boo2ax2c,boo,p5,1,FALSE,M
128,lau,boo2ax2c,boo,p5,0,FALSE,M
129,lau,boo2ax2c,boo,p5,0,FALSE,M
130,lau,boo2ax2c,boo,p5,0,FALSE,M
131,lau,boo2ax2c,boo,p5,0,FALSE,M
132,lau,boo2ax2c,boo,p5,0,FALSE,M
133,lau,boo2ax2c,boo,p5,0,FALSE,M
134,lau,boo2ax2c,boo,p5,0,FALSE,M
135,lau,boo2ax2c,boo,p5,0,FALSE,M
136,ech,g7ax1a,gos,p5,0,FALSE,A
137,ech,g7ax1a,gos,p5,0,FALSE,A
138,ech,g7ax1a,gos,p5,1,FALSE,A
139,ech,g7ax1a,gos,p5,1,FALSE,A
140,ech,g7ax1a,gos,p5,1,FALSE,A
141,ech,g7ax1a,gos,p5,0,FALSE,A
142,ech,g7ax1a,gos,p5,1,FALSE,A
143,ech,g7ax1a,gos,p5,2,FALSE,A
144,ech,g7ax1a,gos,p5,0,FALSE,A
145,gos,echbulk,ech,p5,0,FALSE,A
146,gos,echbulk,ech,p5,0,FALSE,A
147,gos,echbulk,ech,p5,2,FALSE,A
148,gos,echbulk,ech,p5,1,FALSE,A
149,gos,echbulk,ech,p5,3,FALSE,A
150,gos,echbulk,ech,p5,1,FALSE,A
151,gos,echbulk,ech,p5,1,FALSE,A
152,gos,echbulk,ech,p2,2,FALSE,A
153,gos,echbulk,ech,p2,2,FALSE,A
154,gos,echbulk,ech,p2,0,FALSE,A
155,gos,echbulk,ech,p2,2,FALSE,A
156,gos,echbulk,ech,p2,2,FALSE,A
157,gos,echbulk,ech,p2,1,FALSE,A
158,gos,echbulk,ech,p2,0,FALSE,A
159,gos,echbulk,ech,p2,1,FALSE,A
